name, price, offer, link, image, message
Panadol MINI CAPS| 12 caps,$6.85,Spend $60 get glow box @25,/panadol-mini-caps-12-caps/p/124539,/medias/124539-1-listing?context=bWFzdGVyfHJvb3R8ODE1OXxpbWFnZS9qcGVnfGhhNC9oM2IvODkwNjY3NjkyODU0Mi5qcGd8MWIyZjdhMDI5ZDViOWM4YTllMTM5MjczOTExNzc5MjBhNTdlMWNhYjU2ZmQ1NDUyOTVlMmM1Y2RiOGQwYjFmNg,
Panadol for Children Chewable| 24 tablets ,$6.25,Spend $60 get glow box @25,/panadol-for-children-chewable-24-tablets-/p/272028,/medias/272028-1-listing?context=bWFzdGVyfHJvb3R8NjkyNXxpbWFnZS9qcGVnfGgwMS9oYzIvODgzOTYzNzM2ODg2Mi5qcGd8NWZlOTk5MzVhOTZhZTIwZTY2NjA1NjZlNjdlYzM3MmE0NjY1MTk5MDMyNDQ0YTQ1N2FiNzE2ZTZhZTMzODhiOA,
Children’s Panadol Suspension 1 – 6 years| 60ml,$7.25,Spend $60 get glow box @25,/childrens-panadol-suspension-1-6-years-60ml/p/122058,/medias/122058-1-listing?context=bWFzdGVyfHJvb3R8ODExN3xpbWFnZS9qcGVnfGg0ZS9oYzIvODg0NDkzMjkwNzAzOC5qcGd8ZWYzZmExZWU3OWY1OGQyMDE4NTcyNWU2NmVmNWU5Y2Q5NDFkYzFmZjRjOGE4YWE1NjQ3N2JmMmY1YTUyMTg4OA,
Panadol with Optizorb 20caps,$6.85,Spend $60 get glow box @25,/panadol-with-optizorb-20caps/p/172533,/medias/172533-1-listing?context=bWFzdGVyfHJvb3R8NzU2OXxpbWFnZS9qcGVnfGgzYS9oZWQvODg0NTA2MDIxMDcxOC5qcGd8YjEyOWE3ZWJhNjEyNTNjZWI4ZjRhYWMyNWY3YmNjMmNkZGY4YzA0M2ZhNWFlM2Y5ZGNhZGUwZDliZGM3ODI5MQ,
Guardian  Children's Fever and Pain Relief Suspension,$6.85,Spend $60 get glow box @25,/guardian-childrens-fever-and-pain-relief-suspension/p/169101,/medias/169101-1-listing?context=bWFzdGVyfHJvb3R8MzU4N3xpbWFnZS9qcGVnfGg2YS9oZWMvODkzNzQ0MzU5MDE3NC5qcGd8YjgxZGM4N2RmOWIxZTFhMDE3MjNjMjZkZGRlNjg4ODJjNTc2YWRlZmFkYjhmZGY1Mjg5MGIwMDRlNWM1NzNmMw,Only 8 left in stock
Bengay  Ultra Strength Non-Greasy Pain Relieving Cream 4oz,$18.50,Spend $60 get glow box @25,/bengay-ultra-strength-non-greasy-pain-relieving-cream-4oz/p/144109,/medias/144109-1-listing?context=bWFzdGVyfHJvb3R8MTE5MTR8aW1hZ2UvanBlZ3xoNTAvaDlhLzg4ODQ3NDU0MzcyMTQuanBnfDJhOGRmMDEwZjQ3ZmIzZDg4NTc5YzgzNzY0ODE5YTlmNjIxYjIwM2U0MzhkZTVhOWNmNjI0MDM3Mjc0OTZkYjY,Only 1 left in stock
Bengay  Greaseless Non-Greasy Pain Relieving Cream 2oz,$10.90,Spend $60 get glow box @25,/bengay-greaseless-non-greasy-pain-relieving-cream-2oz/p/470003,/medias/470003-1-listing?context=bWFzdGVyfHJvb3R8MjIwNTR8aW1hZ2UvanBlZ3xoY2UvaDliLzg4ODg4ODEwODY0OTQuanBnfDZjYTQxZDRhODRlZDNiNGJjNzIwZTlmMDhkYjNlMmU1ZDJjYmNkZWE0YzIxZWI5Zjc4YTc5OWVlOGVkMzRmOTU,Only 3 left in stock
Ammeltz Yoko Yoko Air-Activated Body Warmer -Neck & Shoulder,$3.90,3 FOR $8.90,/ammeltz-yoko-yoko-air-activated-body-warmerneck-shoulder/p/176744,/medias/176744-1-listing?context=bWFzdGVyfHJvb3R8MTUzMjF8aW1hZ2UvanBlZ3xoMmEvaDM3Lzg4Njc5NDQyMDIyNzAuanBnfGFkNTQ0ODJhYzI4N2ExNzZjYzRkNGYzNTcxZmNiZGQyZGNkMWRlYjdiZDhmNWU4YjgwNDdkYTMzYjI3OWJhNmU,
Ammeltz Yoko Yoko Air-Activated  Body Warmer- Lower Abdomen,$3.90,3 FOR $8.90,/ammeltz-yoko-yoko-air-activated-body-warmerlower-abdomen/p/176745,/medias/176745-1-listing?context=bWFzdGVyfHJvb3R8MTQ1NTV8aW1hZ2UvanBlZ3xoNDcvaDc2Lzg4Njc5NDUwODcwMDYuanBnfDlmYjBkNDE2MTM3Y2YwZWU3OWU4ZTNmYTZlNjhhZjVkNjI4OWMzODU2ZGE4Yjk0ZTA1ZWIzMWZkMjc5MjQ5OGE,
Ammeltz Yoko Yoko Air-Activated Body Warmer- Back,$4.40,3 FOR $9.90,/ammeltz-yoko-yoko-air-activated-body-warmerback/p/176746,/medias/176746-1-listing?context=bWFzdGVyfHJvb3R8MTU1MDl8aW1hZ2UvanBlZ3xoMmQvaDgxLzg4Njc5NDYzOTc3MjYuanBnfDgwNzFkOWRhOTljNmRjZDkxZmRiNjM1YTM2YWU1ZWIxYTI2MjllMWM2ZTFhYzU3MmNjZDYxMjA4MTU0NjEzODA,
Tiger Balm Red Ointment| 4g,$1.60,2 FOR $3.00,/tiger-balm-red-ointment-4g/p/173189,/medias/173189-1-listing?context=bWFzdGVyfHJvb3R8MTQ4NDF8aW1hZ2UvanBlZ3xoOGEvaDE0Lzg4NjY4NDkxMjg0NzguanBnfDViNmRlNzRjMzdkOTVhYzg0NjgxYWU0OTJlOWNlNTI3ZWFjMjIyMTY4ZmQzZDgyZmRjNjdkNTlmNjI4YThmODg,
Tiger Balm White Ointment| 4g,$1.60,2 FOR $3.00,/tiger-balm-white-ointment-4g/p/173190,/medias/173190-1-listing?context=bWFzdGVyfHJvb3R8MTQxNjN8aW1hZ2UvanBlZ3xoZjYvaDUxLzg4NjY4NDk5NDc2NzguanBnfDA5OTgwN2FkYmE4NmZlZDBjYzg2NjU0Zjc2YmI5NTVlN2E5MjY1YTA5NTNjMWQ5NWU3ZDJkNGRkNWY4OWNmNDk,
Tiger Balm Neck & Shoulder Rub Boost| 50g x 3s,$28.80,Spend $60 get glow box @25,/tiger-balm-neck-shoulder-rub-boost-50g-x-3s/p/156548,/medias/156548-1-listing?context=bWFzdGVyfHJvb3R8ODYzN3xpbWFnZS9qcGVnfGgyZC9oOTUvODg2NTk5MTMyNzc3NC5qcGd8ODNmZTZjN2E2OWRmMjM3MWFhYzgxZmYwZGZhODJhNDdmMmVjMWUwZDIxMjA1ZGI4ODA0YmYwN2UyNmM4NzhlZQ,
Tiger Balm Neck & Shoulder Rub| 50g x 3s,$24.50,Spend $60 get glow box @25,/tiger-balm-neck-shoulder-rub-50g-x-3s/p/156547,/medias/156547-1-listing?context=bWFzdGVyfHJvb3R8NzY1MnxpbWFnZS9qcGVnfGhlYi9oZmEvODg2NTk5MDE0ODEyNi5qcGd8NDM3YmZhMmMzYzgxYzQ5MzM5YTIwMTVmMWUwNTMwM2RlMzQyYTg5YmIyNWJhYTZkODQ2MmE4ZmI1ZjE1MmU2OA,
Pnflex 8% Glucosamine Cream| 100ml,$26.90,Spend $60 get glow box @25,/pnflex-8-glucosamine-cream-100ml/p/173193,/medias/173193-1-listing?context=bWFzdGVyfHJvb3R8NjkyOXxpbWFnZS9qcGVnfGg3NC9oMDMvODg0Mjc0MTc3NjQxNC5qcGd8YTVlZDhkMzdjMDY5NzEzY2UwZDZkYTJmN2U3ZjZjMzY5YmIxMmU0Y2U5MThhOTIzYjBlMGJjOWMzOWU2ZjM1Yg,Only 4 left in stock
TGC Active Glucosamine Cream| 75g,$22.10,Spend $60 get glow box @25,/tgc-active-glucosamine-cream-75g/p/136289,/medias/136289-1-listing?context=bWFzdGVyfHJvb3R8MTU3ODN8aW1hZ2UvanBlZ3xoMjgvaDgxLzg4ODQxNzg0MTk3NDIuanBnfDVhN2ZhOWYxNGVhYzg5MWI4ZTg0ZTk3NDVmOGNiYjI5Nzg0MTllZGFkYzk3OGQ0NjQ0ODg1YWI2OTM3Y2U0NTA,Only 3 left in stock
TGC High Strength Glucosamine Cream| 75g,$35.60,Spend $60 get glow box @25,/tgc-high-strength-glucosamine-cream-75g/p/126804,/medias/126804-1-listing?context=bWFzdGVyfHJvb3R8MTU4Njl8aW1hZ2UvanBlZ3xoYjYvaDRmLzg4ODM3MzUxNjcwMDYuanBnfDQ2MWUxNTYyOWNkZjM2NzdlOWVjYWQ1NmM0YTJiOTY1ZDQxNzZiNmI3OWMxZDg3ZjRjZmJkOWE0M2ZiY2NjOTQ,Only 9 left in stock
TGC High Strength Glucosamine Cream| 45g,$24.15,Spend $60 get glow box @25,/tgc-high-strength-glucosamine-cream-45g/p/125472,/medias/125472-1-listing?context=bWFzdGVyfHJvb3R8NTY1NDF8aW1hZ2UvanBlZ3xoMjgvaDc0Lzg4ODM2MTQ5NzM5ODIuanBnfDMwNTRiNGY2ZmQxNGRhNWFhNTdjMWYzMTE4OWJmZTAzMDllMWM4YTY3MzZmMGJiMjI5NDFmNGIyZTkzYzExYzM,Only 9 left in stock
TGC Plus Capsaicin Glucosamine Cream| 45g,$30.30,Spend $60 get glow box @25,/tgc-plus-capsaicin-glucosamine-cream-45g/p/125473,/medias/125473-1-listing?context=bWFzdGVyfHJvb3R8MjIxNDR8aW1hZ2UvanBlZ3xoMzUvaDczLzg4ODM2MTYyODQ3MDIuanBnfDAwNGQ3Njg1MzVjM2Y3NTIyOWM3MTRkNzc1MTkxZmZiOTViZWUyNDVhNDZiYTliYTMyMGFmNzdmMGFmMDA0ZTc,Only 4 left in stock
Salonpas Pain Relief Patch HOT| Large 3s,$5.00,2 FOR $8.00,/salonpas-pain-relief-patch-hot-large-3s/p/157089,/medias/157089-1-listing?context=bWFzdGVyfHJvb3R8MjE5Njh8aW1hZ2UvanBlZ3xoMTUvaDZhLzg4ODYwNDgwNjM1MTguanBnfGI1ZjE3ZDQxMzQ1ZTM3ZDZkNWUwODgxNWUzZTgzOGM1NGUxNmFlOWY1NThjZDJjYmRiY2I1M2Y3MTVmYjRmZjQ,
Ammeltz Yoko Yoko Cream| 60g,$7.00,2 FOR $9.90,/ammeltz-yoko-yoko-cream-60g/p/170718,/medias/170718-1-listing?context=bWFzdGVyfHJvb3R8ODU5OHxpbWFnZS9qcGVnfGg3Yi9oNDUvODgzODMxNjU4OTA4Ni5qcGd8YjU4NjI4ZTA0OWRiNWNiYWJlZDZlZDZlNmYxM2NlNDY2MGU2Mzc3OTBkMThmMDExMzY0NzY4MDFjYWU5NzFiZQ,
Ammeltz Acupoint Patch| 48s,$7.90,2 FOR $10.90,/ammeltz-acupoint-patch-48s/p/163069,/medias/163069-1-listing?context=bWFzdGVyfHJvb3R8NjA1ODQ0fGltYWdlL2pwZWd8aDlmL2hkMi84ODg5NDc1NzYwMTU4LmpwZ3xhM2UxOTRhNjdlYmY5ODdhMTM1ZmUxZGYzYzNkZmYxMTg0YWRmMGMxYzdlYjc0ZTA5OTkyMTM3ODQ5OTA1ZTE1,
Bio-Heat + Glucosamine Pain Relief Cream| 50g,$32.80,2 FOR $49.90,/bio-heat-glucosamine-pain-relief-cream-50g/p/168531,/medias/168531-1-listing?context=bWFzdGVyfHJvb3R8MTIyNDd8aW1hZ2UvanBlZ3xoM2IvaDVkLzg4MzgzMDk0NDU2NjIuanBnfGVlMzIzYzI0ZjExOTEyOTY5NWMzOTZkNGQ0ZDk5MDYxZDAxN2Y1M2E4NzEyNDlkMDc4NTU1MTk1ZWEzNDkwMWM,
Flexiseq 50g| Twin Pack,$59.90,Spend $60 get glow box @25,/flexiseq-50g-twin-pack/p/172417,/medias/172417-1-listing?context=bWFzdGVyfHJvb3R8OTMwNnxpbWFnZS9qcGVnfGg2Ni9oZjUvODg3NDE0OTk2OTk1MC5qcGd8OTI4NjZkN2FmOTY0NDAxMDFjOTMwMzQ3MTdmMTZmODQ2ZGM3OGYwN2U0YTE4YTE0Y2MxZjhiMWNkYzUxNWU1OQ,
Brau No touch + Forehead Thermometer NTF3000,$149.00,Spend $60 get glow box @25,/brau-no-touch-forehead-thermometer-ntf3000/p/173013,/medias/173013-1-listing?context=bWFzdGVyfHJvb3R8NDMxNnxpbWFnZS9qcGVnfGg1Ni9oMWEvODgzODMzNjE4NDM1MC5qcGd8OTM2ZDUzMWVhMDMzZjliMDU1NTU5YWZlYjg3ZWY4ODM1Njg2NjU2YWNlN2U3MjI1NTFlYzAzYTI2MDRjNGU5Nw,Only 9 left in stock
Rheuma Patch,$9.80,Spend $60 get glow box @25,/rheuma-patch/p/129948,/medias/129948-1-listing?context=bWFzdGVyfHJvb3R8MTQwOHxpbWFnZS9qcGVnfGgxZi9oMTMvODk0MDY3NzIwMTk1MC5qcGd8ZWZhNmIwYTEwYWQ3NGM5MWU0MGVkNmZhNzczMmNlM2FhZmQ0ZDljYWE2ZDU1YjE1ZWQ0MjdlYWRmOWY3ZjA2Zg,Only 4 left in stock
Rheuma-Salve Medicated Balm,$10.00,Spend $60 get glow box @25,/rheuma-salve-medicated-balm/p/170974,/medias/170974-1-listing?context=bWFzdGVyfHJvb3R8NTEyMXxpbWFnZS9qcGVnfGhlNS9oMDcvODg5MDkxNTA5NDU1OC5qcGd8YTViZTc0MDJhOTMwMGM2Mzc0OTUzM2I3MDllODQwZWQ5ZjJjZTNmYzk1MmJhZTMxYTA3YmRhMzQ0ZDNiYzRlZg,
Alka Seltzer Effervescent Tablet,$13.90,Spend $60 get glow box @25,/alka-seltzer-effervescent-tablet/p/201007,/medias/201007-1-listing?context=bWFzdGVyfHJvb3R8MTE2Nzh8aW1hZ2UvanBlZ3xoOWYvaDJjLzg4ODg2MDc4OTk2NzguanBnfGZkNDFiY2ExZTE2OTk2NDc2ZmY5MDM2NjFmMDMwYTdiZjQzMzIyMjk2YzhhNDYzMDIxZGRhNzM0MDYxMDlhZDU,
Guardian Digital Thermometer Probe Cover,$4.00,Spend $60 get glow box @25,/guardian-digital-thermometer-probe-cover/p/169277,/medias/169277-1-listing?context=bWFzdGVyfHJvb3R8Nzg1NnxpbWFnZS9qcGVnfGhhMS9oNjAvODg5MDUxNjQzOTA3MC5qcGd8YjIyODgxMTYwODI4MWFmYmU2MTNjOGFlZjE1ZGU4NjFjYzMwNWRjZjI2ZGQyNDQ1OGI4MDVmNmE2ODM5NTQwMg,
Joint Cream| 50g,$28.00,Spend $60 get glow box @25,/joint-cream-50g/p/157837,/medias/157837-1-listing?context=bWFzdGVyfHJvb3R8NzAzN3xpbWFnZS9qcGVnfGg0Yi9oN2IvODg4NjE2NDgxNTkwMi5qcGd8YTE3N2FlNGVjNGNlOTc2YTJlYzkxZGEwNjgwMTQ1OTY0NjE0NjI2M2E1OGY0MjNmZjI4YjdlZjQyOTBhNmZjMg,Only 4 left in stock
Yoko Yoko| 48ml,$4.35,Spend $60 get glow box @25,/yoko-yoko-48ml/p/000813,/medias/000813-1-listing?context=bWFzdGVyfHJvb3R8Mzc4NnxpbWFnZS9qcGVnfGg0ZS9oZmEvODkzNTkxMjUzODE0Mi5qcGd8MzNkNWFlMmY2YzBhZDgwMTljMTYzN2IzNzJkOTlkNTY5OWQ3NzgzNDc0ZTQyZDM2MmMwNjVkMWFjNzkyZDAyZg,
Flexiseq 50g,$36.00,Spend $60 get glow box @25,/flexiseq-50g/p/170813,/medias/170813-1-listing?context=bWFzdGVyfHJvb3R8NTEzMnxpbWFnZS9qcGVnfGg1MC9oYzkvODg4ODYwNTI3ODIzOC5qcGd8MjA4ODU3YjE1MDY4NDNmYWUzZTc1YTYwODI3OTUyY2IzZTcxYzVhYzlhY2YyMmQyZTA3MGQ2MWYzYWNhOTZlNg,
